age,streaming_service,hours_per_day,while_working,instrumentalist,composer,favorite_genre,exploratory,foreign_languages,bpm,freq_classical,freq_country,freq_edm,freq_folk,freq_gospel,freq_hiphop,freq_jazz,freq_kpop,freq_latin,freq_lofi,freq_metal,freq_pop,freq_rnb,freq_rap,freq_rock,freq_video_game,anxiety,depression,insomnia,ocd,music_effects
16,Spotify,4.0,Yes,No,No,Rock,No,Yes,125.0,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Very frequently,9,8,1,2,Improve
26,Spotify,2.0,Yes,Yes,Yes,Hip hop,Yes,Yes,165.0,Rarely,Rarely,Very frequently,Rarely,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Very frequently,Rarely,6,3,1,1,Improve
22,Apple Music,0.5,No,No,No,Hip hop,No,No,113.0,Sometimes,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Never,7,7,0,1,No effect
16,Spotify,5.0,Yes,Yes,Yes,Jazz,Yes,Yes,167.0,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Very frequently,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Sometimes,Never,7,7,8,4,Improve
17,Spotify,5.0,Yes,No,No,Metal,Yes,Yes,95.0,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Sometimes,4,1,0,0,Improve
19,Spotify,10.0,Yes,No,No,R&B,Yes,Yes,110.0,Never,Rarely,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Rarely,Very frequently,Rarely,Never,Never,7,2,1,5,Improve
18,YouTube Music,2.0,No,No,No,EDM,No,Yes,150.0,Sometimes,Rarely,Very frequently,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Never,Very frequently,Rarely,Sometimes,Rarely,Very frequently,9,0,5,10,Improve
18,YouTube Music,4.0,Yes,No,No,Hip hop,Yes,Yes,93.0,Never,Never,Rarely,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Very frequently,Very frequently,Sometimes,Rarely,2,7,1,1,Improve
19,Spotify,5.0,No,Yes,Yes,Rock,Yes,Yes,90.0,Rarely,Never,Never,Rarely,Never,Sometimes,Very frequently,Never,Very frequently,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very frequently,Rarely,10,8,7,0,Improve
19,Spotify,3.0,Yes,No,No,Jazz,Yes,No,118.0,Rarely,Never,Rarely,Never,Never,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Never,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,3,0,0,0,Improve
22,Spotify,2.0,Yes,No,No,K pop,Yes,Yes,126.0,Never,Never,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Sometimes,Never,Sometimes,Very frequently,Rarely,7,8,5,1,No effect
16,Spotify,2.5,Yes,Yes,Yes,Rock,Yes,Yes,103.0,Rarely,Sometimes,Never,Very frequently,Never,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Very frequently,Rarely,Never,Very frequently,Rarely,2,1,0,0,Improve
19,Spotify,3.0,Yes,No,No,R&B,Yes,Yes,77.0,Rarely,Never,Sometimes,Never,Never,Very frequently,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,5,4,0,1,Improve
37,Spotify,1.0,Yes,No,No,Rock,No,No,115.0,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,9,10,6,10,No effect
14,Spotify,7.0,Yes,Yes,No,Jazz,No,No,110.0,Rarely,Never,Very frequently,Never,Never,Never,Very frequently,Never,Sometimes,Never,Never,Sometimes,Never,Never,Very frequently,Very frequently,2,0,0,0,Improve
33,I do not use a streaming service.,1.0,No,No,No,Metal,No,Yes,130.0,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Rarely,Never,Very frequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,5,2,5,1,Improve
26,Spotify,1.0,No,No,No,R&B,No,No,113.0,Rarely,Sometimes,Never,Sometimes,Never,Very frequently,Very frequently,Never,Never,Never,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Never,3,2,0,0,No effect
32,Spotify,3.0,Yes,No,No,Hip hop,No,No,157.0,Never,Never,Rarely,Never,Never,Very frequently,Never,Never,Sometimes,Rarely,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,2,0,7,0,No effect
30,Spotify,5.0,Yes,Yes,No,Metal,Yes,No,160.0,Sometimes,Rarely,Never,Sometimes,Never,Rarely,Never,Never,Never,Never,Very frequently,Sometimes,Never,Never,Very frequently,Never,7,6,6,2,No effect
43,I do not use a streaming service.,6.0,Yes,Yes,Yes,Video game music,Yes,Yes,109.0,Sometimes,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Sometimes,Very frequently,5,4,8,3,No effect
24,Spotify,4.0,Yes,No,No,Classical,Yes,Yes,175.0,Very frequently,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Very frequently,Rarely,4,6,5,3,Improve
36,YouTube Music,1.0,Yes,No,No,Rock,Yes,No,110.0,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,6,2,3,1,Improve
19,YouTube Music,4.0,Yes,No,No,Video game music,Yes,No,162.0,Rarely,Never,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,Rarely,Very frequently,8,2,1,6,Improve
22,Spotify,10.0,Yes,No,No,Metal,Yes,Yes,189.0,Rarely,Very frequently,Never,Very frequently,Never,Never,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Sometimes,9,6,0,6,Improve
20,Spotify,3.0,No,No,Yes,EDM,Yes,Yes,121.0,Rarely,Sometimes,Very frequently,Never,Never,Sometimes,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,0,3,7,0,Improve
31,Spotify,2.0,No,No,No,Rock,Yes,No,200.0,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Never,Rarely,Very frequently,Never,8,9,6,2,Improve
19,Spotify,4.0,Yes,No,No,Metal,Yes,Yes,105.0,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Rarely,4,1,1,1,Improve
15,Spotify,8.0,Yes,No,No,Rock,No,No,193.0,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Rarely,8,7,5,0,Improve
18,Spotify,2.0,No,Yes,Yes,Metal,Yes,Yes,149.0,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Very frequently,Sometimes,Never,Rarely,Very frequently,Rarely,3,4,6,1,Improve
25,I do not use a streaming service.,0.5,No,Yes,No,Classical,No,No,140.0,Very frequently,Never,Never,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,1,1,3,1,Improve
17,Apple Music,5.0,Yes,No,No,Metal,Yes,No,134.0,Never,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,10,8,6,7,No effect
28,YouTube Music,1.0,No,No,No,Rock,Yes,No,120.0,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Rarely,6,6,2,0,No effect
20,Spotify,3.0,Yes,No,No,Rock,Yes,Yes,170.0,Never,Never,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Rarely,Sometimes,Sometimes,Rarely,Very frequently,Sometimes,6,7,0,0,Improve
21,YouTube Music,2.0,Yes,Yes,No,Metal,Yes,Yes,107.0,Sometimes,Rarely,Never,Very frequently,Never,Never,Rarely,Never,Never,Rarely,Very frequently,Rarely,Never,Rarely,Sometimes,Very frequently,8,4,10,0,No effect
41,Spotify,3.0,Yes,No,No,Pop,No,Yes,113.0,Sometimes,Never,Rarely,Rarely,Rarely,Very frequently,Sometimes,Rarely,Rarely,Never,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Never,9,7,6,2,No effect
20,Spotify,2.0,Yes,Yes,No,Pop,Yes,No,126.0,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Very frequently,Never,Rarely,Very frequently,Sometimes,7,4,6,5,Improve
34,Other streaming service,4.0,Yes,No,No,Metal,Yes,Yes,161.0,Rarely,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Sometimes,Rarely,6,7,0,0,No effect
21,YouTube Music,3.0,Yes,No,Yes,Metal,Yes,No,130.0,Sometimes,Rarely,Never,Sometimes,Never,Never,Never,Never,Never,Never,Very frequently,Very frequently,Never,Never,Very frequently,Rarely,10,0,10,10,Improve
23,Spotify,2.0,Yes,No,No,Metal,Yes,Yes,100.0,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Never,Sometimes,Rarely,6,3,0,1,Improve
16,Spotify,3.0,No,No,No,Pop,No,No,140.0,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Never,Rarely,Never,Never,Very frequently,Sometimes,Rarely,Never,Never,7,5,5,3,Improve
19,YouTube Music,4.0,Yes,No,No,Pop,Yes,No,156.0,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Never,Never,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Sometimes,7,10,5,0,Improve
